 10 
 500 12421 
 1 6 19 
 1 7 -61 
 1 42 -81 
 1 43 67 
 1 46 -20 
 1 50 50 
 1 75 8 
 1 79 -20 
 1 94 -62 
 1 100 -32 
 1 102 74 
 1 103 -40 
 1 122 4 
 1 127 -18 
 1 186 34 
 1 204 -3 
 1 211 -17 
 1 227 34 
 1 247 -35 
 1 255 52 
 1 321 8 
 1 323 -37 
 1 352 61 
 1 369 69 
 1 374 -20 
 1 396 49 
 1 405 -19 
 1 450 -47 
 1 462 15 
 1 469 -68 
 1 499 82 
 2 8 -24 
 2 14 78 
 2 22 61 
 2 38 42 
 2 39 -78 
 2 43 -26 
 2 82 -14 
 2 95 42 
 2 98 54 
 2 109 96 
 2 117 37 
 2 125 -76 
 2 128 93 
 2 144 -84 
 2 156 29 
 2 162 14 
 2 168 30 
 2 180 22 
 2 197 -5 
 2 199 -56 
 2 213 63 
 2 219 -37 
 2 248 62 
 2 251 28 
 2 259 -39 
 2 261 15 
 2 266 10 
 2 268 -96 
 2 274 -15 
 2 299 46 
 2 308 75 
 2 323 74 
 2 324 78 
 2 335 71 
 2 357 -92 
 2 361 85 
 2 365 -71 
 2 369 -21 
 2 376 1 
 2 407 91 
 2 415 65 
 2 425 30 
 2 428 71 
 2 431 61 
 2 453 87 
 2 459 27 
 2 461 61 
 2 472 62 
 2 482 -28 
 2 488 -94 
 2 500 94 
 3 17 48 
 3 28 -17 
 3 55 -45 
 3 58 -92 
 3 60 12 
 3 64 18 
 3 65 -43 
 3 74 66 
 3 102 49 
 3 125 -10 
 3 142 15 
 3 143 29 
 3 145 66 
 3 146 -55 
 3 148 13 
 3 163 -37 
 3 179 -27 
 3 196 -84 
 3 202 77 
 3 220 -97 
 3 224 -9 
 3 239 -17 
 3 244 49 
 3 252 32 
 3 269 -39 
 3 278 -47 
 3 281 -45 
 3 296 43 
 3 297 4 
 3 305 -84 
 3 312 48 
 3 343 67 
 3 353 -15 
 3 354 100 
 3 355 69 
 3 366 44 
 3 396 58 
 3 397 82 
 3 401 82 
 3 405 -32 
 3 410 -67 
 3 411 -93 
 3 438 -1 
 3 442 73 
 3 469 -10 
 3 473 -26 
 3 487 86 
 3 488 70 
 3 494 -27 
 3 498 16 
 4 11 -78 
 4 12 -34 
 4 14 -1 
 4 32 91 
 4 65 -19 
 4 86 -75 
 4 87 -86 
 4 100 87 
 4 104 44 
 4 107 -36 
 4 154 -90 
 4 157 -82 
 4 166 -13 
 4 175 -66 
 4 181 -68 
 4 183 92 
 4 216 41 
 4 217 91 
 4 228 -14 
 4 234 99 
 4 236 -78 
 4 243 -87 
 4 298 19 
 4 302 -69 
 4 308 99 
 4 312 1 
 4 323 -4 
 4 348 10 
 4 352 -74 
 4 360 -18 
 4 377 11 
 4 401 -89 
 4 414 63 
 4 419 18 
 4 424 -32 
 4 450 -2 
 4 477 47 
 4 485 -75 
 4 499 28 
 5 34 54 
 5 36 -57 
 5 38 1 
 5 58 -34 
 5 66 21 
 5 68 19 
 5 76 -47 
 5 82 -4 
 5 87 -74 
 5 103 6 
 5 105 95 
 5 109 99 
 5 112 70 
 5 124 -2 
 5 125 -56 
 5 126 68 
 5 127 -63 
 5 139 81 
 5 143 77 
 5 156 90 
 5 220 30 
 5 222 -56 
 5 235 -24 
 5 241 -45 
 5 247 24 
 5 257 -48 
 5 258 97 
 5 263 6 
 5 276 -45 
 5 280 -54 
 5 296 67 
 5 300 59 
 5 311 22 
 5 314 90 
 5 331 91 
 5 337 -27 
 5 341 51 
 5 346 -93 
 5 360 -63 
 5 376 -67 
 5 414 -91 
 5 435 -31 
 5 441 68 
 5 450 64 
 5 453 11 
 5 487 24 
 5 491 43 
 5 492 -47 
 6 10 -4 
 6 17 -25 
 6 69 73 
